LineId,Host,DateTime,TimeZone,Connection,Type,Status,Port,Unknown,Content,EventId,EventTemplate,ParameterList
1,128.131.168.117,[05/Feb/2020:12:48:53,+0100],GET, HTTP/1.1,200,6521,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
2,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET, HTTP/1.1,200,6521,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
3,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/plugins/papercite/papercite.css?ver=5.2.5 HTTP/1.1,200,691,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
4,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-includes/css/dist/block-library/style.min.css?ver=5.2.5 HTTP/1.1,200,5105,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
5,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/themes/olsen-light/css/base.css?ver=1.3.0 HTTP/1.1,200,3135,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
6,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/themes/olsen-light/common/css/global.css?ver=1.3.0 HTTP/1.1,200,901,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
7,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/themes/olsen-light/style.css?ver=1.3.0 HTTP/1.1,200,8696,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
8,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/themes/olsen-light/css/font-awesome.css?ver=4.7.0 HTTP/1.1,200,7777,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
9,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/themes/olsen-light/css/magnific.css?ver=1.0.0 HTTP/1.1,200,2183,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
10,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/plugins/tablepress/css/default.min.css?ver=1.9.2 HTTP/1.1,200,3069,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
