LineId,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,Jan,30,00:05:01,fajar-server,CRON[1990],pam_unix(cron:session): session opened for user root by (uid=0),c257f384,pam_unix(cron:session): session opened for user root by (uid=<*>),['0']
2,Jan,30,00:05:01,fajar-server,CRON[1990],pam_unix(cron:session): session closed for user root,6e704123,pam_unix(cron:session): session closed for user root,[]
3,Jan,30,00:09:01,fajar-server,CRON[1998],pam_unix(cron:session): session opened for user root by (uid=0),c257f384,pam_unix(cron:session): session opened for user root by (uid=<*>),['0']
4,Jan,30,00:09:01,fajar-server,CRON[1998],pam_unix(cron:session): session closed for user root,6e704123,pam_unix(cron:session): session closed for user root,[]
5,Jan,30,00:15:01,fajar-server,CRON[2065],pam_unix(cron:session): session opened for user root by (uid=0),c257f384,pam_unix(cron:session): session opened for user root by (uid=<*>),['0']
6,Jan,30,00:15:01,fajar-server,CRON[2065],pam_unix(cron:session): session closed for user root,6e704123,pam_unix(cron:session): session closed for user root,[]
7,Jan,30,00:17:01,fajar-server,CRON[2070],pam_unix(cron:session): session opened for user root by (uid=0),c257f384,pam_unix(cron:session): session opened for user root by (uid=<*>),['0']
8,Jan,30,00:17:01,fajar-server,CRON[2070],pam_unix(cron:session): session closed for user root,6e704123,pam_unix(cron:session): session closed for user root,[]
9,Jan,30,00:25:01,fajar-server,CRON[2082],pam_unix(cron:session): session opened for user root by (uid=0),c257f384,pam_unix(cron:session): session opened for user root by (uid=<*>),['0']
10,Jan,30,00:25:01,fajar-server,CRON[2082],pam_unix(cron:session): session closed for user root,6e704123,pam_unix(cron:session): session closed for user root,[]
11,Jan,30,00:28:16,fajar-server,sshd[2090],Invalid user ritvik from 106.75.240.46,9302fad4,Invalid user <*> from <*>,"['ritvik', '106.75.240.46']"
12,Jan,30,00:28:16,fajar-server,sshd[2090],input_userauth_request: invalid user ritvik [preauth],6b674ff1,input_userauth_request: invalid user <*> [preauth],['ritvik']
13,Jan,30,00:28:16,fajar-server,sshd[2090],pam_unix(sshd:auth): check pass; user unknown,0849a7d0,pam_unix(sshd:auth): check pass; user unknown,[]
14,Jan,30,00:28:16,fajar-server,sshd[2090],pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=106.75.240.46,e0a8b45a,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,"['0', '0', '106.75.240.46']"
15,Jan,30,00:28:18,fajar-server,sshd[2090],Failed password for invalid user ritvik from 106.75.240.46 port 37036 ssh2,755dc626,Failed <*> for invalid user <*> from <*> port <*> ssh<*>,"['password', 'ritvik', '106.75.240.46', '37036', '2']"
16,Jan,30,00:28:18,fajar-server,sshd[2090],Received disconnect from 106.75.240.46 port 37036:11: Bye Bye [preauth],c0a756ec,Received disconnect from <*> port <*>:<*>: <*> <*> <*>,"['106.75.240.46', '37036:11', 'Bye', 'Bye [preauth]']"
