EventId,EventTemplate,Occurrences
c257f384,pam_unix(cron:session): session opened for user root by (uid=<*>),1662
6e704123,pam_unix(cron:session): session closed for user root,1662
9302fad4,Invalid user <*> from <*>,669
6b674ff1,input_userauth_request: invalid user <*> [preauth],669
0849a7d0,pam_unix(sshd:auth): check pass; user unknown,879
e0a8b45a,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,876
755dc626,Failed <*> for invalid user <*> from <*> port <*> ssh<*>,876
c0a756ec,Received disconnect from <*> port <*>:<*>: <*> <*> <*>,883
0054e5e2,Disconnected from <*> port <*> [preauth],696
95184834,refused connect from <*> (<*>),298
0a7846c3,Connection <*> by <*> port <*> [preauth],313
21b7e1d1,"fatal: Unable to negotiate with <*> port <*>: no matching cipher found. Their offer: aes256-cbc,rijndael-cbc@lysator.liu.se,aes192-cbc,aes128-cbc,arcfour128,arcfour,3des-cbc,none [preauth]",20
54ff4343,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> <*>,132
ada372e1,Failed password for <*> from <*> port <*> ssh<*>,133
c926c7d9,Did not receive identification string from <*>,16
6927e4a0,Bad protocol version identification '\<*>\253d\241EZC\333M\<*>\<*>^\<*>\<*>\<*> X\<*>>\<*>\<*>\<*><\<*>\<*>\<*>' from <*> port <*>,2
bf9b6a0d,Bad protocol version identification <*> from <*> port <*>,5
aa869e2e,error: Received disconnect from <*> port <*>:<*>: Service not available [preauth],1
b542638e,message repeated <*> times: [ Failed password for root from <*> port <*> ssh2],3
cc5fc443,error: maximum authentication attempts exceeded for root from <*> port <*> ssh2 [preauth],1
bf9c63d7,Disconnecting: Too many authentication failures [preauth],1
cbf938f4,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=root,2
2f2318e5,PAM service(sshd) ignoring max retries; <*> > <*>,1
656c9596,Invalid user from <*>,2
67bab5c1,input_userauth_request: invalid user [preauth],2
5a9ee5c4,Failed password for invalid user from <*> port <*> ssh<*>,4
d6c4c090,invalid public DH value: <= <*> [preauth],1
e9a14f03,fatal: ssh_dispatch_run_fatal: Connection from <*> port <*>: incomplete message [preauth],1
7aad7007,"Received disconnect from <*> port <*>:<*>: Normal Shutdown, Thank you for playing [preauth]",24
759cf92f,Received disconnect from <*> port <*>:<*>: Client disconnecting normally [preauth],3
f1e55f2a,Accepted password for fekaputr from <*> port <*> ssh<*>,22
1ac6a9ee,pam_unix(sshd:session): session opened for user fekaputr by (uid=<*>),22
3e503675,New session <*> of user fekaputr.,22
254911f8,pam_unix(systemd-user:session): session opened for user fekaputr by (uid=<*>),21
74d07e77,fekaputr : TTY=pts/<*> ; <*> ; USER=root ; <*>,15
e4bceaa2,pam_unix(sudo:session): session opened for user root by fekaputr(uid=<*>),286
7ffa85e4,pam_unix(sshd:session): session closed for user fekaputr,20
f2bb95c7,New seat seat0.,4
52d4ae92,Watching system buttons on /dev/input/event0 (Power Button),5
8938d159,Server listening on <*> port <*>.,18
bff67196,fekaputr : TTY=pts/<*> ; <*> ; USER=root ; <*> <*>,95
8b428b11,pam_unix(sudo:session): session closed for user root,283
aeebac42,Disconnected from <*> port <*>,2
2dd801d7,pam_unix(sudo:auth): auth could not identify password for [fekaputr],1
5243dad2,fekaputr : TTY=pts/<*> ; PWD=/home/fekaputr ; USER=root ; COMMAND=/usr/bin/apt-get purge linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic,1
da707c9e,fekaputr : (command continued) linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic,1
