hash,content,template,keywords
9e6c39244b9d9e5e9b5b3f854df5f81272ccf37a427f28c2e55996ef19c2b72b,pam_unix(cron:session): session opened for user root by (uid=<*>),sepses:LogLine_c257f384,session open|user root
1124ec984c187d9885903eccb046614204a03e027a094490154f26550b0cb351,pam_unix(cron:session): session closed for user root,sepses:LogLine,session close|user root
18f9747e396f56689020ce4f2117e40bce615d00367dc79c3cf2666c8e1bfab4,Invalid user <*> from <*>,sepses:LogLine_9302fad4,invalid user
dd6a1f6614adb1c2f93aec9fd66131e9abd2e571af4a8f6a3c4a7b584995f1b6,input_userauth_request: invalid user <*> [preauth],sepses:LogLine_6b674ff1,invalid user
e66ffbed70a4495b92f879ced6e6495753fa53c60eeef5d3cdc32b6a1b4ae727,pam_unix(sshd:auth): check pass; user unknown,sepses:LogLine,check pass|user unknown
273bf1142465c219b9606027172d0a8fc4586c606cd696f57c0fc846d9972e0a,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,sepses:LogLine_e0a8b45a,authentication failure
b9c7546e46076cfd25cce3ada419affe4a4aadeb23fb54014d9a721ef9806e9e,Failed <*> for invalid user <*> from <*> port <*> ssh<*>,sepses:LogLine_755dc626,invalid user
67f8cd1b4a25d6a138862ab3eefb29dd9aaa0e6e8fb8fd15e12f0a6e9bc112f4,Received disconnect from <*> port <*>:<*>: <*> <*> <*>,sepses:LogLine_c0a756ec,receive disconnect
9010528dcab249f2ceb376399d2c3d7d3d27e07523e5146b9d425b731ed3d3a2,Disconnected from <*> port <*> [preauth],sepses:LogLine_0054e5e2,
a15ced06cbcb8806a9b8f6f967942a167d760f357b6ed6b0f638f4ed8100924e,refused connect from <*> (<*>),sepses:LogLine_95184834,refuse connect
e57aefaaad6b30ff69e3e01706c4ab83ed04a4ea83b2f03f396902112529a768,Connection <*> by <*> port <*> [preauth],sepses:LogLine_0a7846c3,
faa379246630d2035fe4e3a4e29140b7a9f6568a3e59dea532f5ce51492a272b,"fatal: Unable to negotiate with <*> port <*>: no matching cipher found. Their offer: aes256-cbc,rijndael-cbc@lysator.liu.se,aes192-cbc,aes128-cbc,arcfour128,arcfour,3des-cbc,none [preauth]",sepses:LogLine_21b7e1d1,matching cipher find
3d63177ba3dcc9f0305fc1969322f8bc12b8257b40eee324ebed6c39d3b7633e,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> <*>,sepses:LogLine_54ff4343,authentication failure
9f75ffc8b9e7f3afb489a0c95f99f541e3ee959a196d906a400446914f0ba762,Failed password for <*> from <*> port <*> ssh<*>,sepses:LogLine_ada372e1,fail password
6c47a3541153d2ca40c094d6c49e5fc5f760560292eef77dcab81b982bf79c3e,Did not receive identification string from <*>,sepses:LogLine_c926c7d9,receive identification string
c43032142e912012e11e867299d81f9b12559ca243373b88f4c104d5c6d589b7,Bad protocol version identification '\<*>\253d\241EZC\333M\<*>\<*>^\<*>\<*>\<*> X\<*>>\<*>\<*>\<*><\<*>\<*>\<*>' from <*> port <*>,sepses:LogLine_6927e4a0,bad protocol version identification|x \
8c3d0a2aa08bf292aba28c4b34921c781910865001c3d375aa55627f95a484e2,Bad protocol version identification <*> from <*> port <*>,sepses:LogLine_bf9b6a0d,bad protocol version identification
1b8510702347034c77f4211f79557852998708631083dc54598772e3ebc89a2b,error: Received disconnect from <*> port <*>:<*>: Service not available [preauth],sepses:LogLine_aa869e2e,receive disconnect
386b095ed05721ff50eb9607aa5655019c3c4d1441ed6216cd877c2a9cbbc8c1,message repeated <*> times: [ Failed password for root from <*> port <*> ssh2],sepses:LogLine_b542638e,message repeat|fail password
9dbccd80a00615f49c3be2a76696eb627d215f300f73a80e674f70e50bd1af40,error: maximum authentication attempts exceeded for root from <*> port <*> ssh2 [preauth],sepses:LogLine_cc5fc443,maximum authentication attempt exceed
4ccc78b3d1aa901c37ddb64f50622c471a5ed0ee5f8ffdab85f611e1e37c9d81,Disconnecting: Too many authentication failures [preauth],sepses:LogLine,many authentication failure
7018274c87bdcbb10b35001a0c4f0da8d30b51a7d8cd2127372d6bd9dbd093d9,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=root,sepses:LogLine_cbf938f4,authentication failure
e02dfd162257cbba151bcaeecf15fc244ff926d611512f36406f5a92983e89c9,PAM service(sshd) ignoring max retries; <*> > <*>,sepses:LogLine_2f2318e5,pam service|ignore max retry
fdc0ee1784ec51fcbf5a11626cd94b1349bc3270b62f519eb5db2ced5b218b3a,Invalid user from <*>,sepses:LogLine_656c9596,invalid user
bd2746078c3b8cf80f246a7a4e813e0a0cb9913dd74b5c7e2db3a223fc3b7251,input_userauth_request: invalid user [preauth],sepses:LogLine,invalid user
67bb86204ffb3456146eb4828b127341381566fc15269662a460e6180f17be8a,Failed password for invalid user from <*> port <*> ssh<*>,sepses:LogLine_5a9ee5c4,fail password|invalid user
e0d30855b273d500a8a081c40fba0149f4fcd67d791a27d76ba551b4bd1d96ab,invalid public DH value: <= <*> [preauth],sepses:LogLine_d6c4c090,invalid public dh value
7b04084603d7b63f46ce35e5c129776bf41367619976f807734093d6493697e6,fatal: ssh_dispatch_run_fatal: Connection from <*> port <*>: incomplete message [preauth],sepses:LogLine_e9a14f03,ssh _ dispatch|incomplete message
76b1c03c3831a828387feeebeeaa90dd529e5a760b1777079525f7cefd9f86df,"Received disconnect from <*> port <*>:<*>: Normal Shutdown, Thank you for playing [preauth]",sepses:LogLine_7aad7007,receive disconnect|normal shutdown
ba447688010cb881f45d8fc6b0a9f674a428b81337f21126f5b38db137dd6a55,Received disconnect from <*> port <*>:<*>: Client disconnecting normally [preauth],sepses:LogLine_759cf92f,receive disconnect|client disconnect
394518fed9b31068f85454a054123558cce2e5c9bd0f702507c378fbf8e27138,Accepted password for fekaputr from <*> port <*> ssh<*>,sepses:LogLine_f1e55f2a,accepted password
017b02413d6e1f3ef4bcb6f2db7b581da529c87b2537437f090c0b28674c9354,pam_unix(sshd:session): session opened for user fekaputr by (uid=<*>),sepses:LogLine_1ac6a9ee,session open|user fekaputr
e493921cf12a374eaa54d323bc3f057b058a975352134ddbfb3aeabc34391ace,New session <*> of user fekaputr.,sepses:LogLine_3e503675,New session|user fekaputr
acb95e9f5f93c0d38b5b144d46c6027450e75572d7439cd071db3408f58f858f,pam_unix(systemd-user:session): session opened for user fekaputr by (uid=<*>),sepses:LogLine_254911f8,session open|user fekaputr
d3d24f6fd6930d32c0b358b5d4816bdb45b58d35cc589e3d05194da5eff94fa3,fekaputr : TTY=pts/<*> ; <*> ; USER=root ; <*>,sepses:LogLine_74d07e77,
cb471150dd54af3871fc9eb79521e85d2b7964809bd1ec3607a6a124058a59ce,pam_unix(sudo:session): session opened for user root by fekaputr(uid=<*>),sepses:LogLine_e4bceaa2,session open|user root
8d2cdd217ed642e6829d08ecd35e9f7d2fba715c216532d5a37b74a4cc47e044,pam_unix(sshd:session): session closed for user fekaputr,sepses:LogLine,session close|user fekaputr
7dccde47696fdc3c71cad7382cf76b00372a7b22608c7c67101124d3f52d6364,New seat seat0.,sepses:LogLine,new seat seat0
ce32b7047203487c3c6b5b44f59d786cfe6c9d72df81f8c3de5ad76c8b1afcbf,Watching system buttons on /dev/input/event0 (Power Button),sepses:LogLine,watch system button|power button
93019783e9608b840068c480bfbdac257b9bc89e37caee61d981ff3b9d587eb9,Server listening on <*> port <*>.,sepses:LogLine_8938d159,server listen
bef146c121c01c4f54c1b56e4d737f7f3ab2acd38b2d8c3c3deab43bef9148a8,fekaputr : TTY=pts/<*> ; <*> ; USER=root ; <*> <*>,sepses:LogLine_bff67196,
a7e2b500f842b0bdc6d90b298487adeaace0d373fbdb2c75ad25fc6cb0b0787d,pam_unix(sudo:session): session closed for user root,sepses:LogLine,session close|user root
98a2f50b244588f2bcf1947390b2c269232bdf53dac3f2b903cc8b28e1a068c4,Disconnected from <*> port <*>,sepses:LogLine_aeebac42,
d33787647c09f1b1ec8f45c6d89291043cb1722978d4026b9c770901d2e42c22,pam_unix(sudo:auth): auth could not identify password for [fekaputr],sepses:LogLine,identify password
ff1cc733d20e0a72de467d65e22216f823a9b52e90d3e0c4be9e0d8c4e324f36,fekaputr : TTY=pts/<*> ; PWD=/home/fekaputr ; USER=root ; COMMAND=/usr/bin/apt-get purge linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic,sepses:LogLine_5243dad2,purge linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image
2afeccbd1868827518c7f0285a9344ad6fa82ebb1d640d44882a27a34fdd3e88,fekaputr : (command continued) linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic,sepses:LogLine_da707c9e,command continue|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image|generic linux-image
