LineId,Date,Time,FilterType,Content,EventId,EventTemplate,ParameterList
1,2020-01-30,"00:28:16,806",fail2ban.filter,[1066]: INFO    [sshd] Found 106.75.240.46,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '106.75.240.46']"
2,2020-01-30,"00:28:16,825",fail2ban.filter,[1066]: INFO    [sshd] Found 106.75.240.46,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '106.75.240.46']"
3,2020-01-30,"00:28:18,643",fail2ban.filter,[1066]: INFO    [sshd] Found 106.75.240.46,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '106.75.240.46']"
4,2020-01-30,"00:33:23,119",fail2ban.filter,[1066]: INFO    [sshd] Found 93.158.234.214,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '93.158.234.214']"
5,2020-01-30,"00:33:23,132",fail2ban.filter,[1066]: INFO    [sshd] Found 93.158.234.214,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '93.158.234.214']"
6,2020-01-30,"00:33:24,434",fail2ban.filter,[1066]: INFO    [sshd] Found 93.158.234.214,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '93.158.234.214']"
7,2020-01-30,"00:46:20,317",fail2ban.filter,[1066]: INFO    [sshd] Found 198.199.101.113,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '198.199.101.113']"
8,2020-01-30,"00:46:20,333",fail2ban.filter,[1066]: INFO    [sshd] Found 198.199.101.113,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '198.199.101.113']"
9,2020-01-30,"00:46:22,966",fail2ban.filter,[1066]: INFO    [sshd] Found 198.199.101.113,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '198.199.101.113']"
10,2020-01-30,"00:46:33,999",fail2ban.filter,[1066]: INFO    [sshd] Found 148.70.223.29,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '148.70.223.29']"
11,2020-01-30,"00:46:34,021",fail2ban.filter,[1066]: INFO    [sshd] Found 148.70.223.29,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '148.70.223.29']"
12,2020-01-30,"00:46:36,105",fail2ban.filter,[1066]: INFO    [sshd] Found 148.70.223.29,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '148.70.223.29']"
13,2020-01-30,"00:53:27,335",fail2ban.filter,[1066]: INFO    [sshd] Found 174.138.56.93,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '174.138.56.93']"
14,2020-01-30,"00:55:28,029",fail2ban.filter,[1066]: INFO    [sshd] Found 174.138.56.93,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '174.138.56.93']"
15,2020-01-30,"00:57:28,086",fail2ban.filter,[1066]: INFO    [sshd] Found 174.138.56.93,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '174.138.56.93']"
16,2020-01-30,"01:18:09,384",fail2ban.filter,[1066]: INFO    [sshd] Found 62.234.75.76,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '62.234.75.76']"
17,2020-01-30,"01:18:09,404",fail2ban.filter,[1066]: INFO    [sshd] Found 62.234.75.76,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '62.234.75.76']"
18,2020-01-30,"01:18:11,109",fail2ban.filter,[1066]: INFO    [sshd] Found 62.234.75.76,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '62.234.75.76']"
19,2020-01-30,"01:21:55,099",fail2ban.filter,[1066]: INFO    [sshd] Found 82.81.50.220,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '82.81.50.220']"
20,2020-01-30,"01:21:55,110",fail2ban.filter,[1066]: INFO    [sshd] Found 82.81.50.220,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '82.81.50.220']"
21,2020-01-30,"01:21:57,181",fail2ban.filter,[1066]: INFO    [sshd] Found 82.81.50.220,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '82.81.50.220']"
22,2020-01-30,"01:29:43,709",fail2ban.filter,[1066]: INFO    [sshd] Found 118.25.156.20,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '118.25.156.20']"
23,2020-01-30,"01:29:43,735",fail2ban.filter,[1066]: INFO    [sshd] Found 118.25.156.20,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '118.25.156.20']"
24,2020-01-30,"01:29:45,709",fail2ban.filter,[1066]: INFO    [sshd] Found 118.25.156.20,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '118.25.156.20']"
25,2020-01-30,"01:35:54,421",fail2ban.filter,[1066]: INFO    [sshd] Found 123.31.29.203,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '123.31.29.203']"
26,2020-01-30,"01:35:54,438",fail2ban.filter,[1066]: INFO    [sshd] Found 123.31.29.203,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '123.31.29.203']"
27,2020-01-30,"01:35:56,685",fail2ban.filter,[1066]: INFO    [sshd] Found 123.31.29.203,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '123.31.29.203']"
28,2020-01-30,"01:59:56,055",fail2ban.filter,[1066]: INFO    [sshd] Found 178.128.123.111,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '178.128.123.111']"
29,2020-01-30,"01:59:56,074",fail2ban.filter,[1066]: INFO    [sshd] Found 178.128.123.111,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '178.128.123.111']"
30,2020-01-30,"01:59:58,616",fail2ban.filter,[1066]: INFO    [sshd] Found 178.128.123.111,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '178.128.123.111']"
31,2020-01-30,"02:05:03,230",fail2ban.filter,[1066]: INFO    [sshd] Found 213.82.88.180,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '213.82.88.180']"
32,2020-01-30,"02:05:03,237",fail2ban.filter,[1066]: INFO    [sshd] Found 213.82.88.180,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '213.82.88.180']"
33,2020-01-30,"02:05:05,267",fail2ban.filter,[1066]: INFO    [sshd] Found 213.82.88.180,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '213.82.88.180']"
34,2020-01-30,"02:05:37,815",fail2ban.filter,[1066]: INFO    [sshd] Found 111.229.81.58,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '111.229.81.58']"
35,2020-01-30,"02:05:37,837",fail2ban.filter,[1066]: INFO    [sshd] Found 111.229.81.58,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '111.229.81.58']"
36,2020-01-30,"02:05:39,855",fail2ban.filter,[1066]: INFO    [sshd] Found 111.229.81.58,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '111.229.81.58']"
37,2020-01-30,"02:43:18,437",fail2ban.filter,[1066]: INFO    [sshd] Found 35.154.48.169,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '35.154.48.169']"
38,2020-01-30,"02:43:18,458",fail2ban.filter,[1066]: INFO    [sshd] Found 35.154.48.169,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '35.154.48.169']"
39,2020-01-30,"02:43:20,541",fail2ban.filter,[1066]: INFO    [sshd] Found 35.154.48.169,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '35.154.48.169']"
40,2020-01-30,"02:43:55,990",fail2ban.filter,[1066]: INFO    [sshd] Found 182.180.142.71,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '182.180.142.71']"
41,2020-01-30,"02:43:55,997",fail2ban.filter,[1066]: INFO    [sshd] Found 182.180.142.71,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '182.180.142.71']"
42,2020-01-30,"02:43:57,835",fail2ban.filter,[1066]: INFO    [sshd] Found 182.180.142.71,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '182.180.142.71']"
43,2020-01-30,"02:44:39,814",fail2ban.filter,[1066]: INFO    [sshd] Found 45.55.206.241,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '45.55.206.241']"
44,2020-01-30,"02:51:00,170",fail2ban.filter,[1066]: INFO    [sshd] Found 178.62.118.53,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '178.62.118.53']"
45,2020-01-30,"02:51:00,183",fail2ban.filter,[1066]: INFO    [sshd] Found 178.62.118.53,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '178.62.118.53']"
46,2020-01-30,"02:51:02,364",fail2ban.filter,[1066]: INFO    [sshd] Found 178.62.118.53,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '178.62.118.53']"
47,2020-01-30,"03:05:59,903",fail2ban.filter,[1066]: INFO    [sshd] Found 112.6.231.114,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '112.6.231.114']"
