LineId,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,Jan,30,00:22:13,fajar-server,kernel,[8331276.998928] [UFW BLOCK] IN=ens160 OUT= MAC=00:50:56:84:ef:d6:ec:bd:1d:69:81:d4:08:00 SRC=169.197.108.196 DST=128.131.169.52 LEN=40 TOS=0x00 PREC=0x00 TTL=243 ID=56829 PROTO=TCP SPT=38275 DPT=443 WINDOW=1024 RES=0x00 SYN URGP=0,e2534081,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 SYN URGP=<*>,"['8331276.998928', '00', '50:56:84', '69:81', '08:00', '169.197.108.196', '128.131.169.52', '40', '243', '56829', '38275', '443', '1024', '0']"
2,Jan,30,01:34:52,fajar-server,kernel,[8335634.948600] [UFW BLOCK] IN=ens160 OUT= MAC=00:50:56:84:ef:d6:ec:bd:1d:69:81:d4:08:00 SRC=217.21.193.74 DST=128.131.169.52 LEN=44 TOS=0x00 PREC=0x00 TTL=31 ID=51208 PROTO=TCP SPT=50885 DPT=443 WINDOW=1024 RES=0x00 SYN URGP=0,e2534081,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 SYN URGP=<*>,"['8335634.948600', '00', '50:56:84', '69:81', '08:00', '217.21.193.74', '128.131.169.52', '44', '31', '51208', '50885', '443', '1024', '0']"
3,Jan,30,01:34:52,fajar-server,kernel,[8335635.357295] [UFW BLOCK] IN=ens160 OUT= MAC=00:50:56:84:ef:d6:ec:bd:1d:69:81:d4:08:00 SRC=217.21.193.74 DST=128.131.169.52 LEN=44 TOS=0x00 PREC=0x00 TTL=47 ID=26292 PROTO=TCP SPT=50886 DPT=443 WINDOW=1024 RES=0x00 SYN URGP=0,e2534081,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 SYN URGP=<*>,"['8335635.357295', '00', '50:56:84', '69:81', '08:00', '217.21.193.74', '128.131.169.52', '44', '47', '26292', '50886', '443', '1024', '0']"
4,Jan,30,03:38:53,fajar-server,kernel,[8343076.249058] [UFW BLOCK] IN=ens160 OUT= MAC=00:50:56:84:ef:d6:ec:bd:1d:69:81:d4:08:00 SRC=194.26.29.123 DST=128.131.169.52 LEN=40 TOS=0x00 PREC=0x00 TTL=234 ID=4498 PROTO=TCP SPT=60000 DPT=443 WINDOW=1024 RES=0x00 SYN URGP=0,e2534081,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 SYN URGP=<*>,"['8343076.249058', '00', '50:56:84', '69:81', '08:00', '194.26.29.123', '128.131.169.52', '40', '234', '4498', '60000', '443', '1024', '0']"
5,Jan,30,03:50:36,fajar-server,kernel,[8343778.967196] [UFW BLOCK] IN=ens160 OUT= MAC=00:50:56:84:ef:d6:ec:bd:1d:69:81:d4:08:00 SRC=198.108.66.199 DST=128.131.169.52 LEN=40 TOS=0x00 PREC=0x00 TTL=242 ID=54321 PROTO=TCP SPT=51518 DPT=443 WINDOW=65535 RES=0x00 SYN URGP=0,e2534081,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 SYN URGP=<*>,"['8343778.967196', '00', '50:56:84', '69:81', '08:00', '198.108.66.199', '128.131.169.52', '40', '242', '54321', '51518', '443', '65535', '0']"
6,Jan,30,03:56:26,fajar-server,kernel,[8344129.197174] [UFW BLOCK] IN=ens160 OUT= MAC=00:50:56:84:ef:d6:ec:bd:1d:69:81:d4:08:00 SRC=66.249.65.106 DST=128.131.169.52 LEN=60 TOS=0x00 PREC=0x00 TTL=98 ID=45071 PROTO=TCP SPT=43409 DPT=443 WINDOW=62920 RES=0x00 SYN URGP=0,e2534081,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 SYN URGP=<*>,"['8344129.197174', '00', '50:56:84', '69:81', '08:00', '66.249.65.106', '128.131.169.52', '60', '98', '45071', '43409', '443', '62920', '0']"
7,Jan,30,03:56:27,fajar-server,kernel,[8344130.197169] [UFW BLOCK] IN=ens160 OUT= MAC=00:50:56:84:ef:d6:ec:bd:1d:69:81:d4:08:00 SRC=66.249.65.106 DST=128.131.169.52 LEN=60 TOS=0x00 PREC=0x00 TTL=98 ID=45716 PROTO=TCP SPT=43409 DPT=443 WINDOW=62920 RES=0x00 SYN URGP=0,e2534081,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 SYN URGP=<*>,"['8344130.197169', '00', '50:56:84', '69:81', '08:00', '66.249.65.106', '128.131.169.52', '60', '98', '45716', '43409', '443', '62920', '0']"
8,Jan,30,03:56:29,fajar-server,kernel,[8344132.196673] [UFW BLOCK] IN=ens160 OUT= MAC=00:50:56:84:ef:d6:ec:bd:1d:69:81:d4:08:00 SRC=66.249.65.106 DST=128.131.169.52 LEN=60 TOS=0x00 PREC=0x00 TTL=98 ID=46776 PROTO=TCP SPT=43409 DPT=443 WINDOW=62920 RES=0x00 SYN URGP=0,e2534081,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 SYN URGP=<*>,"['8344132.196673', '00', '50:56:84', '69:81', '08:00', '66.249.65.106', '128.131.169.52', '60', '98', '46776', '43409', '443', '62920', '0']"
9,Jan,30,03:56:33,fajar-server,kernel,[8344136.196567] [UFW BLOCK] IN=ens160 OUT= MAC=00:50:56:84:ef:d6:ec:bd:1d:69:81:d4:08:00 SRC=66.249.65.106 DST=128.131.169.52 LEN=60 TOS=0x00 PREC=0x00 TTL=98 ID=48739 PROTO=TCP SPT=43409 DPT=443 WINDOW=62920 RES=0x00 SYN URGP=0,e2534081,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 SYN URGP=<*>,"['8344136.196567', '00', '50:56:84', '69:81', '08:00', '66.249.65.106', '128.131.169.52', '60', '98', '48739', '43409', '443', '62920', '0']"
10,Jan,30,03:56:41,fajar-server,kernel,[8344144.196332] [UFW BLOCK] IN=ens160 OUT= MAC=00:50:56:84:ef:d6:ec:bd:1d:69:81:d4:08:00 SRC=66.249.65.106 DST=128.131.169.52 LEN=60 TOS=0x00 PREC=0x00 TTL=98 ID=52509 PROTO=TCP SPT=43409 DPT=443 WINDOW=62920 RES=0x00 SYN URGP=0,e2534081,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 SYN URGP=<*>,"['8344144.196332', '00', '50:56:84', '69:81', '08:00', '66.249.65.106', '128.131.169.52', '60', '98', '52509', '43409', '443', '62920', '0']"
