EventId,EventTemplate,Occurrences
e2534081,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 SYN URGP=<*>,209
691600d7,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x02 PREC=0x00 TTL=<*> ID=<*> DF PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 CWR ECE SYN URGP=<*>,88
8045ca6d,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= <*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> DF PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 SYN URGP=<*>,296
41e742d2,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:<*>:<*>:<*>:<*>:<*>:<*>:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> PROTO=<*>,28
68878c94,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> DF PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 ACK PSH URGP=<*>,2
7de1c901,[ <*>.<*>] Initializing cgroup subsys <*>,36
8a8c25cc,[ <*>.<*>] Linux version <*>.<*>.<*>-<*>-generic (buildd@lgw01-amd64-<*>) (gcc version <*>.<*>.<*> <*> (Ubuntu <*>.<*>.<*>-6ubuntu1~<*>.<*>.<*>) ) #<*>-Ubuntu SMP Wed Jan <*> <*>:<*>:<*> UTC <*> (Ubuntu <*>.<*>.<*>-<*>.<*>-generic <*>.<*>.<*>),3
34a9bed2,[ <*>.<*>] Command line: BOOT_IMAGE=/vmlinuz-<*>.<*>.<*>-<*>-generic root=/dev/mapper/fajar--server--vg-root ro,4
965b1ec6,[ <*>.<*>] KERNEL supported cpus:,4
936b8562,[ <*>.<*>] <*> <*>,150
5ee2d27d,[ <*>.<*>] <*> fast <*> <*>,13
94e7a6df,"[ <*>.<*>] x86/fpu: xstate_offset[<*>]: <*>, xstate_sizes[<*>]: <*>",4
3ed8a386,[ <*>.<*>] x86/fpu: Supporting XSAVE feature <*> 'x87 floating point registers',4
c809b8c8,[ <*>.<*>] x86/fpu: Supporting XSAVE feature <*> <*> registers',8
37817a0a,"[ <*>.<*>] x86/fpu: Enabled xstate features 0x7, context size is <*> bytes, using 'standard' format.",4
0fc7c202,[ <*>.<*>] e820: BIOS-provided physical RAM map:,4
d4d60197,[ <*>.<*>] BIOS-e820: [mem <*> <*>,40
976560cf,[ <*>.<*>] BIOS-e820: [mem <*> ACPI <*>,8
a2cd9fdb,[ <*>.<*>] NX (Execute Disable) protection: active,4
271e8bd5,[ <*>.<*>] SMBIOS <*>.<*> present.,4
6e92fae4,"[ <*>.<*>] DMI: VMware, Inc. VMware Virtual Platform/440BX Desktop Reference Platform, BIOS <*>.<*> <*>/<*>/<*>",4
813dc429,[ <*>.<*>] Hypervisor detected: VMware,4
66439c35,[ <*>.<*>] e820: update [mem 0x00000000-0x00000fff] usable ==> reserved,4
1f70e9aa,[ <*>.<*>] e820: remove [mem 0x000a0000-0x000fffff] usable,4
d7329b75,[ <*>.<*>] e820: last_pfn = 0x80000 max_arch_pfn = 0x<*>,4
1dbe8e7a,[ <*>.<*>] MTRR <*> <*> <*>,12
eefc9f89,[ <*>.<*>] <*> base <*> mask FF80000000 write-back,4
f40d2f68,"[ <*>.<*>] x86/PAT: PAT MSR is <*>, disabled.",4
8e352167,[ <*>.<*>] x86/PAT: Configuration [<*>-<*>]: WB WT UC- UC WB WT UC- UC,4
ae149550,[ <*>.<*>] found SMP MP-table at [mem 0x000f6bf0-0x000f6bff] mapped at [ffff8800000f6bf0],3
858533db,[ <*>.<*>] Scanning <*> areas for low memory corruption,4
abff00c8,[ <*>.<*>] Base memory trampoline at [ffff880000098000] <*> size <*>,3
bd206d38,[ <*>.<*>] BRK <*> <*> PGTABLE,21
1c598435,[ <*>.<*>] <*> [mem <*>,12
5e4615b4,[ <*>.<*>] ACPI: Early table checksum verification disabled,4
7126fd9e,[ <*>.<*>] ACPI: RSDP 0x00000000000F6B80 <*> (v02 PTLTD ),4
34a2ae9e,[ <*>.<*>] ACPI: XSDT 0x000000007FEF117A 00005C (v01 INTEL 440BX <*> VMW <*>),4
cc3c28fc,[ <*>.<*>] ACPI: FACP 0x000000007FEFEE73 0000F4 (v04 INTEL 440BX <*> PTL 000F4240),4
b36c548c,[ <*>.<*>] ACPI: <*> <*> <*> (v01 PTLTD <*> <*> <*> <*>),12
384a7d61,[ <*>.<*>] ACPI: <*> <*> <*>,24
595e0b06,[ <*>.<*>] ACPI: APIC 0x000000007FEF137A 00005E (v01 PTLTD ? APIC <*> LTP <*>),4
36f4b3e5,[ <*>.<*>] ACPI: SRAT 0x000000007FEF1276 0000C8 (v02 VMWARE MEMPLUG <*> VMW <*>),4
6b96fb92,[ <*>.<*>] ACPI: <*> <*> <*> (v01 VMWARE VMW <*> <*> VMW <*>),8
33c2304b,[ <*>.<*>] ACPI: Local APIC address 0xfee<*>,8
3a0052b7,[ <*>.<*>] SRAT: PXM <*> -> APIC <*> -> Node <*>,8
4280e377,[ <*>.<*>] SRAT: Node <*> PXM <*> [mem <*>,9
01621e8e,[ <*>.<*>] NUMA: Node <*> [mem <*> + [mem <*> -> [mem <*>,8
