hash,content,template,keywords
f2877db7eb951ed38844aab6c40bf16945164d5d31960d5ff442341c3fe9d1da,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 SYN URGP=<*>,sepses:LogLine_e2534081,UFW BLOCK
338c0959f5e2028c5647a83aa4188a052acf26eee8d851a75b5387b765ac2aab,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x02 PREC=0x00 TTL=<*> ID=<*> DF PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 CWR ECE SYN URGP=<*>,sepses:LogLine_691600d7,UFW BLOCK|df cwr ece syn
30959976ed56fc19d013f1866d4b6a42a988fc31a4313e6544cd6bdbfef003a8,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= <*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> DF PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 SYN URGP=<*>,sepses:LogLine_8045ca6d,UFW BLOCK|df syn
59d7c7e931c6d13483e3c84ac7c6a96956d8d7134655edadc4e1730d9ab50bf7,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:<*>:<*>:<*>:<*>:<*>:<*>:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> PROTO=<*>,sepses:LogLine_41e742d2,UFW BLOCK
83f54fc91d93d3d50d876ebc247c7f5203f0bafe4d3954faca83e6e71dd31144,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> DF PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 ACK PSH URGP=<*>,sepses:LogLine_68878c94,UFW BLOCK|df ack psh
cbce27ab89a9d180c258099e20ed9096f35b31c95c85641d6fbcccc8d533f70a,[ <*>.<*>] Initializing cgroup subsys <*>,sepses:LogLine_7de1c901,initialize cgroup subsy
60cc65b54de7c4e99a190fe7a4b8c874c09aeacb0bddd890d8cfd4d05cb99305,[ <*>.<*>] Linux version <*>.<*>.<*>-<*>-generic (buildd@lgw01-amd64-<*>) (gcc version <*>.<*>.<*> <*> (Ubuntu <*>.<*>.<*>-6ubuntu1~<*>.<*>.<*>) ) #<*>-Ubuntu SMP Wed Jan <*> <*>:<*>:<*> UTC <*> (Ubuntu <*>.<*>.<*>-<*>.<*>-generic <*>.<*>.<*>),sepses:LogLine_8a8c25cc,linux version|gcc version|ubuntu1 ~|ubuntu smp wed Jan
c6c6ff0e3fe83ec82e035a7a8a5b5d69c11fd5fe9f9fdef6f726c057e25c778d,[ <*>.<*>] Command line: BOOT_IMAGE=/vmlinuz-<*>.<*>.<*>-<*>-generic root=/dev/mapper/fajar--server--vg-root ro,sepses:LogLine_34a9bed2,command line
3ca581e7e50644ce21c1d2d566da26b366a1c840dd7eb51c42153846ba9c4c60,[ <*>.<*>] KERNEL supported cpus:,sepses:LogLine_965b1ec6,kernel support cpus
71d4de40c0674544a36faaf0aa6e0356c18a95e3289274a881116ca9f8882544,[ <*>.<*>] <*> <*>,sepses:LogLine_936b8562,
124b190cf1cc392edce7d6c3d570dd5cfdd6fec3bb88945bd8760350e1ebbf94,[ <*>.<*>] <*> fast <*> <*>,sepses:LogLine_5ee2d27d,
334eb822ab4960da04952cadb4aace24445070d015b83da73fecccc7693aadd3,"[ <*>.<*>] x86/fpu: xstate_offset[<*>]: <*>, xstate_sizes[<*>]: <*>",sepses:LogLine_94e7a6df,xstate _ offset
7388b7ce0130f892ac842692d7b22133129c44485c7e03fdddf9891d5919f87e,[ <*>.<*>] x86/fpu: Supporting XSAVE feature <*> 'x87 floating point registers',sepses:LogLine_3ed8a386,support XSAVE feature|x87 float point register
a75aea12e086b7cad3b4bb2b6be71f3b3662c9ee2090f104e6ba82bf8d28efba,[ <*>.<*>] x86/fpu: Supporting XSAVE feature <*> <*> registers',sepses:LogLine_c809b8c8,support XSAVE feature
bf9fe9b9434f3ce689be7411f4295e510482b3ffa8d893d218d46af10a9d4625,"[ <*>.<*>] x86/fpu: Enabled xstate features 0x7, context size is <*> bytes, using 'standard' format.",sepses:LogLine_37817a0a,enable xstate feature 0x7|context size be
c5e5c699d71b8d60c8dff966a5809235c47cf65a8cfc5ff431d900e8c102fb2c,[ <*>.<*>] e820: BIOS-provided physical RAM map:,sepses:LogLine_0fc7c202,bios-provided physical RAM map
8f7fa3be7d7d83ec1d66b8d3161c720011e8f92acfa26f5921b52882e532a674,[ <*>.<*>] BIOS-e820: [mem <*> <*>,sepses:LogLine_d4d60197,
64b1a84eb44906d82eb531067349d4fc2a2302842ce52a4b61cc94d61f3d9e4f,[ <*>.<*>] BIOS-e820: [mem <*> ACPI <*>,sepses:LogLine_976560cf,
a7b20a877d1a193f0f94f897e4043d9db55c94085e2531cb65e03721813730e5,[ <*>.<*>] NX (Execute Disable) protection: active,sepses:LogLine_a2cd9fdb,execute disable
2db31d52007dc890a9d5f0a258f172c24c2bb05701bbaceed180c36afbe20c9a,[ <*>.<*>] SMBIOS <*>.<*> present.,sepses:LogLine_271e8bd5,
4dae96b852ccbfbcdea62af1988124d337fce5558a86187800e945358dd80f13,"[ <*>.<*>] DMI: VMware, Inc. VMware Virtual Platform/440BX Desktop Reference Platform, BIOS <*>.<*> <*>/<*>/<*>",sepses:LogLine_6e92fae4,VMware Virtual Platform/440BX Desktop Reference Platform
a8ae75dc887c0a6b7eda7bc7c7c46603fdc614d5d601fe0ca5a17fe1198af7c4,[ <*>.<*>] Hypervisor detected: VMware,sepses:LogLine_813dc429,hypervisor detect
e64d33280cabaa92ee5750bbe4d91da13b8218a3c5de33f3648036d0ec69240f,[ <*>.<*>] e820: update [mem 0x00000000-0x00000fff] usable ==> reserved,sepses:LogLine_66439c35,usable reserve
90bca318950de2f220402f5f1aa9d4a1a9a2b56f2ad05d5b0339fb0110abd2e0,[ <*>.<*>] e820: remove [mem 0x000a0000-0x000fffff] usable,sepses:LogLine_1f70e9aa,
16a9b3dee4ed6995443ca1542784f220ae31133e75c27b7b2727ecc704d64460,[ <*>.<*>] e820: last_pfn = 0x80000 max_arch_pfn = 0x<*>,sepses:LogLine_d7329b75,last _ pfn|arch _ pfn 0x
97202cc7698f417546251f1ad744a392a8f823d2a378c09f684e39b6be68f070,[ <*>.<*>] MTRR <*> <*> <*>,sepses:LogLine_1dbe8e7a,
c6237dd9fc35042931a5b7b9035f5643525c02bebbc6ebba8e2feb4b5aecbcc5,[ <*>.<*>] <*> base <*> mask FF80000000 write-back,sepses:LogLine_eefc9f89,mask ff80000000 write-back
a93c52b2e589632e636e8a729bdf7b086ec746d6203fa4a1c67fa170c47f8f2e,"[ <*>.<*>] x86/PAT: PAT MSR is <*>, disabled.",sepses:LogLine_f40d2f68,PAT msr be
c7851ab5d6ec618328aadebacb93e9d62157c00b854826536c31f434128cbd38,[ <*>.<*>] x86/PAT: Configuration [<*>-<*>]: WB WT UC- UC WB WT UC- UC,sepses:LogLine_8e352167,WB WT uc|uc WB WT uc
592df76cc1f0a3143620ea8d6b8a1ba2a91ef2dc70833fcb618be71674db686d,[ <*>.<*>] found SMP MP-table at [mem 0x000f6bf0-0x000f6bff] mapped at [ffff8800000f6bf0],sepses:LogLine_ae149550,find smp mp-table
ff546f088a3b6c5488590d7f2addf1936958c52eb79059b889c5dfb2494e6fe5,[ <*>.<*>] Scanning <*> areas for low memory corruption,sepses:LogLine_858533db,low memory corruption
1d9bf18dd87d2dd31c5630c603460b4c47d68ae296cd704684e2f952404aa060,[ <*>.<*>] Base memory trampoline at [ffff880000098000] <*> size <*>,sepses:LogLine_abff00c8,Base memory trampoline
af8a37989fe383a35d49aa91cbc836e054cd1b96399345b4b7773299965f40b2,[ <*>.<*>] BRK <*> <*> PGTABLE,sepses:LogLine_bd206d38,
f38a91fa42cd56146ba2d091810a612c9e5ce2aa1fb136c6ea558b30fd5e79ed,[ <*>.<*>] <*> [mem <*>,sepses:LogLine_1c598435,
7265eb722f61471fa843cc7832f81630bc394c4b10135413fe6245946c90322e,[ <*>.<*>] ACPI: Early table checksum verification disabled,sepses:LogLine_5e4615b4,early table checksum verification disabled
f054c64d8fb10ab3964053946a897e9a05de7c347c289fbfdecdc7a53a78703f,[ <*>.<*>] ACPI: RSDP 0x00000000000F6B80 <*> (v02 PTLTD ),sepses:LogLine_7126fd9e,rsdp 0x00000000000f6b80|v02 ptltd
483398966dd664721c10a0081489481a5c5eda2e1b2757f0d43af2d8f0772624,[ <*>.<*>] ACPI: XSDT 0x000000007FEF117A 00005C (v01 INTEL 440BX <*> VMW <*>),sepses:LogLine_34a2ae9e,xsdt 0x000000007fef117a 00005c|v01 intel 440bx
81921f251d18b3408f9714698bb9f584272fe012a4050f6041c2c5f1cf159224,[ <*>.<*>] ACPI: FACP 0x000000007FEFEE73 0000F4 (v04 INTEL 440BX <*> PTL 000F4240),sepses:LogLine_cc3c28fc,facp 0x000000007fefee73 0000f4|v04 intel 440bx|PTL 000f4240
2d4832d7ca5901805e756fdd7ae43832664e20f6f5630110878313dad2f61808,[ <*>.<*>] ACPI: <*> <*> <*> (v01 PTLTD <*> <*> <*> <*>),sepses:LogLine_b36c548c,v01 ptltd
6f06c3ad1d05ec2ca6ce3e814ea05f75842da7c0018d84e66e3f399a63360389,[ <*>.<*>] ACPI: <*> <*> <*>,sepses:LogLine_384a7d61,
5e52d7ace9406dd74be8f72fecca5f58422438e56780cb6ff3f664147e25b8fb,[ <*>.<*>] ACPI: APIC 0x000000007FEF137A 00005E (v01 PTLTD ? APIC <*> LTP <*>),sepses:LogLine_595e0b06,APIC 0x000000007FEF137A 00005e|v01 ptltd
b866be4532d537b485b1a13785ed62c2925d409aeb355dcdbec2af0c3f1c2448,[ <*>.<*>] ACPI: SRAT 0x000000007FEF1276 0000C8 (v02 VMWARE MEMPLUG <*> VMW <*>),sepses:LogLine_36f4b3e5,srat 0x000000007fef1276 0000c8|v02 vmware memplug
df1627cc57bcc37159e158efa2a599e32c4fd6fad706eac5b0f4d4b62473eb9c,[ <*>.<*>] ACPI: <*> <*> <*> (v01 VMWARE VMW <*> <*> VMW <*>),sepses:LogLine_6b96fb92,v01 vmware vmw
