EventId,EventTemplate,Occurrences
12bbcd64,(root) CMD (command -v debian-sa1 > /dev/null && debian-sa1 <*> <*>),1059
7f28379d,(root) CMD ( [ -x /usr/lib/php/sessionclean ] && if [ ! -d /run/systemd/system ]; then /usr/lib/php/sessionclean; fi),351
73f564e0,Starting Clean php session files...,351
6d8806bb,Started Clean php session files.,351
76b18ae2,Starting Daily apt upgrade and clean activities...,8
30209b95,debug: running <*> on mounted /dev/sda<*>,108
199dbc88,debug: Not on UEFI platform,9
719b3c94,debug: /dev/sda1 is not <*> <*> partition: exiting,54
2a8737d3,debug: /dev/sda2: DOS extended partition; skipping,6
9f198e0d,debug: running /usr/lib/os-probes/50mounted-tests on /dev/sda<*>,12
845885b1,debug: /dev/sda5 is a LVM member partition; skipping,6
49ef6846,debug: os detected by /usr/lib/os-probes/50mounted-tests,12
2cb58431,debug: /dev/mapper/fajar--server--vg-swap_<*>: is active swap,9
be35dfa1,Started Daily apt upgrade and clean activities.,13
c8b6b98e,(root) CMD ( cd / && run-parts --report /etc/cron.hourly),175
691600d7,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x02 PREC=0x00 TTL=<*> ID=<*> DF PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 CWR ECE SYN URGP=<*>,88
8045ca6d,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= <*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> DF PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 SYN URGP=<*>,296
e2534081,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 SYN URGP=<*>,195
b37fee6f,Starting Daily apt download activities...,15
43d542ce,Started Daily apt download activities.,20
6bdd6cfb,(root) CMD ( test -x /etc/cron.daily/popularity-contest && /etc/cron.daily/popularity-contest --crond),8
038a758d,Starting Cleanup of Temporary Directories...,11
9c27f27a,"[/usr/lib/tmpfiles.d/var.conf:<*>] Duplicate line for path ""/var/log"", ignoring.",12
20447797,Started Cleanup of Temporary Directories.,11
41e742d2,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:<*>:<*>:<*>:<*>:<*>:<*>:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> PROTO=<*>,28
cad13ea2,(root) CMD (test -x /usr/sbin/anacron || ( cd / && run-parts --report <*> )),9
f774caa3,Reloading LSB: Apache2 web server.,5
b7a206d9,* <*> Apache httpd web server apache<*>,11
3389dae3,*,11
65c4de33,Reloaded LSB: Apache2 web server.,5
68878c94,[<*>.<*>] [UFW BLOCK] IN=ens160 OUT= MAC=<*>:<*>:<*>:<*>:ef:d6:ec:bd:1d:<*>:<*>:d4:<*>:<*> SRC=<*> DST=<*> LEN=<*> TOS=0x00 PREC=0x00 TTL=<*> ID=<*> DF PROTO=TCP SPT=<*> DPT=<*> WINDOW=<*> RES=0x00 ACK PSH URGP=<*>,2
b76b0db7,Stopping <*>,20
38c92929,Stopped <*>,43
0a902b2f,Starting <*>,39
a82065b1,starting DenyHosts: /usr/bin/env python /usr/sbin/denyhosts --daemon --purge --config=/etc/denyhosts.conf,5
00ac854a,Started <*>,75
e3a8f5d3,Created slice User Slice of fekaputr.,21
c0177403,Starting User Manager for UID <*>...,21
c86f0b30,Started Session <*> of user fekaputr.,22
1482f31a,Reached target <*>,127
3f508636,Reached target <*> <*>,45
360bc5b1,Startup finished in <*>,21
bce4e9d6,Started User Manager for UID <*>.,21
681f4647,Stopping Session <*> of user fekaputr.,5
9ff97048,Closed Load/Save RF Kill Switch Status /dev/rfkill Watch.,3
62100b51,Stopping Authenticate and Authorize Users to Run Privileged Tasks...,3
f7b4ee4f,Stopping User Manager for UID <*>...,20
1a8bf47c,Stopping Service for virtual machines hosted on VMware...,4
c8209b68,"message repeated <*> times: [ [origin software=""rsyslogd"" swVersion=""<*>.<*>.<*>"" x-pid=""<*>"" x-info=""http://www.rsyslog.com""] rsyslogd was HUPed]",1
93cb534b,"[origin software=""rsyslogd"" swVersion=""<*>.<*>.<*>"" x-pid=""<*>"" x-info=""http://www.rsyslog.com""] exiting on signal <*>.",5
cf2e3ce8,"[origin software=""rsyslogd"" swVersion=""<*>.<*>.<*>"" x-pid=""<*>"" x-info=""http://www.rsyslog.com""] start",6
3418c9ae,command 'KLogPermitNonKernelFacility' is currently not permitted - did you already set it via a RainerScript command (v6+ config)? [v8.<*>.<*> try http://www.rsyslog.com/e/<*> ],3
65151288,rsyslogd's <*> changed to <*>,12
298840a4,Could not open output pipe '/dev/xconsole':: No such file or directory [v8.<*>.<*> try http://www.rsyslog.com/e/<*> ],3
37dda998,"action 'action <*>' suspended, next retry is Tue Feb <*> <*>:<*>:<*> <*> [v8.<*>.<*> try http://www.rsyslog.com/e/<*> ]",3
7de1c901,[ <*>.<*>] Initializing cgroup subsys <*>,36
8a8c25cc,[ <*>.<*>] Linux version <*>.<*>.<*>-<*>-generic (buildd@lgw01-amd64-<*>) (gcc version <*>.<*>.<*> <*> (Ubuntu <*>.<*>.<*>-6ubuntu1~<*>.<*>.<*>) ) #<*>-Ubuntu SMP Wed Jan <*> <*>:<*>:<*> UTC <*> (Ubuntu <*>.<*>.<*>-<*>.<*>-generic <*>.<*>.<*>),3
34a9bed2,[ <*>.<*>] Command line: BOOT_IMAGE=/vmlinuz-<*>.<*>.<*>-<*>-generic root=/dev/mapper/fajar--server--vg-root ro,4
965b1ec6,[ <*>.<*>] KERNEL supported cpus:,4
936b8562,[ <*>.<*>] <*> <*>,150
5ee2d27d,[ <*>.<*>] <*> fast <*> <*>,13
94e7a6df,"[ <*>.<*>] x86/fpu: xstate_offset[<*>]: <*>, xstate_sizes[<*>]: <*>",4
3ed8a386,[ <*>.<*>] x86/fpu: Supporting XSAVE feature <*> 'x87 floating point registers',4
c809b8c8,[ <*>.<*>] x86/fpu: Supporting XSAVE feature <*> <*> registers',8
37817a0a,"[ <*>.<*>] x86/fpu: Enabled xstate features 0x7, context size is <*> bytes, using 'standard' format.",4
0fc7c202,[ <*>.<*>] e820: BIOS-provided physical RAM map:,4
d4d60197,[ <*>.<*>] BIOS-e820: [mem <*> <*>,40
976560cf,[ <*>.<*>] BIOS-e820: [mem <*> ACPI <*>,8
a2cd9fdb,[ <*>.<*>] NX (Execute Disable) protection: active,4
271e8bd5,[ <*>.<*>] SMBIOS <*>.<*> present.,4
6e92fae4,"[ <*>.<*>] DMI: VMware, Inc. VMware Virtual Platform/440BX Desktop Reference Platform, BIOS <*>.<*> <*>/<*>/<*>",4
813dc429,[ <*>.<*>] Hypervisor detected: VMware,4
66439c35,[ <*>.<*>] e820: update [mem 0x00000000-0x00000fff] usable ==> reserved,4
1f70e9aa,[ <*>.<*>] e820: remove [mem 0x000a0000-0x000fffff] usable,4
d7329b75,[ <*>.<*>] e820: last_pfn = 0x80000 max_arch_pfn = 0x<*>,4
1dbe8e7a,[ <*>.<*>] MTRR <*> <*> <*>,12
eefc9f89,[ <*>.<*>] <*> base <*> mask FF80000000 write-back,4
f40d2f68,"[ <*>.<*>] x86/PAT: PAT MSR is <*>, disabled.",4
8e352167,[ <*>.<*>] x86/PAT: Configuration [<*>-<*>]: WB WT UC- UC WB WT UC- UC,4
ae149550,[ <*>.<*>] found SMP MP-table at [mem 0x000f6bf0-0x000f6bff] mapped at [ffff8800000f6bf0],3
858533db,[ <*>.<*>] Scanning <*> areas for low memory corruption,4
abff00c8,[ <*>.<*>] Base memory trampoline at [ffff880000098000] <*> size <*>,3
bd206d38,[ <*>.<*>] BRK <*> <*> PGTABLE,21
1c598435,[ <*>.<*>] <*> [mem <*>,12
5e4615b4,[ <*>.<*>] ACPI: Early table checksum verification disabled,4
7126fd9e,[ <*>.<*>] ACPI: RSDP 0x00000000000F6B80 <*> (v02 PTLTD ),4
34a2ae9e,[ <*>.<*>] ACPI: XSDT 0x000000007FEF117A 00005C (v01 INTEL 440BX <*> VMW <*>),4
cc3c28fc,[ <*>.<*>] ACPI: FACP 0x000000007FEFEE73 0000F4 (v04 INTEL 440BX <*> PTL 000F4240),4
b36c548c,[ <*>.<*>] ACPI: <*> <*> <*> (v01 PTLTD <*> <*> <*> <*>),12
384a7d61,[ <*>.<*>] ACPI: <*> <*> <*>,24
595e0b06,[ <*>.<*>] ACPI: APIC 0x000000007FEF137A 00005E (v01 PTLTD ? APIC <*> LTP <*>),4
36f4b3e5,[ <*>.<*>] ACPI: SRAT 0x000000007FEF1276 0000C8 (v02 VMWARE MEMPLUG <*> VMW <*>),4
6b96fb92,[ <*>.<*>] ACPI: <*> <*> <*> (v01 VMWARE VMW <*> <*> VMW <*>),8
33c2304b,[ <*>.<*>] ACPI: Local APIC address 0xfee<*>,8
3a0052b7,[ <*>.<*>] SRAT: PXM <*> -> APIC <*> -> Node <*>,8
4280e377,[ <*>.<*>] SRAT: Node <*> PXM <*> [mem <*>,9
01621e8e,[ <*>.<*>] NUMA: Node <*> [mem <*> + [mem <*> -> [mem <*>,8
b6667f9b,[ <*>.<*>] <*> <*> [mem <*>,16
64c52242,[ <*>.<*>] Movable zone start for each node,4
a091d2c8,[ <*>.<*>] Early memory node ranges,4
7fbedda6,[ <*>.<*>] Initmem setup node <*> [mem 0x0000000000001000-0x000000007fffffff],4
6d7e682c,[ <*>.<*>] On node <*> totalpages: <*>,4
8f605fdb,[ <*>.<*>] <*> zone: <*> pages used for memmap,8
4f135b04,[ <*>.<*>] DMA zone: <*> pages reserved,4
c61c09e1,"[ <*>.<*>] <*> zone: <*> pages, LIFO batch:<*>",8
b78b9daf,[ <*>.<*>] ACPI: PM-Timer IO Port: 0x<*>,4
51efaf41,[ <*>.<*>] ACPI: LAPIC_NMI <*> high edge lint[0x1]),8
a7e15138,"[ <*>.<*>] IOAPIC[<*>]: apic_id <*>, version <*>, address 0xfec00000, GSI <*>-<*>",4
956ed7df,[ <*>.<*>] ACPI: INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> high edge),4
908df579,[ <*>.<*>] ACPI: <*> used by override.,8
2d06faa7,[ <*>.<*>] Using ACPI (MADT) for SMP configuration information,4
ecd5c8ee,[ <*>.<*>] ACPI: HPET id: 0x8086af01 base: 0xfed<*>,4
9b8c143d,"[ <*>.<*>] smpboot: Allowing <*> CPUs, <*> hotplug CPUs",4
